"url","Title","Place","DescSnip","Photo","Photo_alt","AllData","SubVals","SubTitles","Status","LinkURLs","LinkURLs_link"
"http://www.loopnet.com/Michigan/Kalamazoo-Commercial-Real-Estate/","678 Maple Hill Drive","Kalamazoo, Michigan","West Main Place is a bi-level retail and office center located on the West Main Street retail corridor. It is currently filled with a great mix of...","http://x.lnimg.com/photo/thumb_288/11dafbcc1cc84bbdbfd5692cc0e08428.jpg","678 Maple Hill Drive","678 Maple Hill Drive
Kalamazoo, Michigan
West Main Place is a bi-level retail and office center located on the West Main Street retail corridor. It is currently filled with a great mix of...
 
 Status:
No. Spaces:
Rental Rate:
Space Available:
Bldg. Size:
Primary Type:
Sub-Type: 
 
Active
9
$12.00
786 - 1,886 SF
20,354 SF
Retail
Strip Center","Active
9
$12.00
786 - 1,886 SF
20,354 SF
Retail
Strip Center","Status:
No. Spaces:
Rental Rate:
Space Available:
Bldg. Size:
Primary Type:
Sub-Type:","Active","678 Maple Hill Drive","http://www.loopnet.com/Listing/20093266/678-Maple-Hill-Drive-Kalamazoo-MI/"
"http://www.loopnet.com/Michigan/Kalamazoo-Commercial-Real-Estate/","621 Portage St","Kalamazoo, Michigan","AVAILABLE FOR SALE This former Hoekstra' s Hardware property offers multiple buildings with approx. 15,900 SF of retail/storage space on a...","http://x.lnimg.com/photo/thumb_288/b950d4caab0646d591bac02f03b904cb.jpg","621 Portage St","621 Portage St
Kalamazoo, Michigan
AVAILABLE FOR SALE This former Hoekstra' s Hardware property offers multiple buildings with approx. 15,900 SF of retail/storage space on a...
 
 Status:
Price:
Bldg. Size:
Cap Rate:
Primary Type:
Sub-Type: 
 
Active
$342,000
15,900 SF
N/A
Retail
Free Standing Bldg","Active
$342,000
15,900 SF
N/A
Retail
Free Standing Bldg","Status:
Price:
Bldg. Size:
Cap Rate:
Primary Type:
Sub-Type:","Active","621 Portage St","http://www.loopnet.com/Listing/20074395/621-Portage-St-Kalamazoo-MI/"
"http://www.loopnet.com/Michigan/Kalamazoo-Commercial-Real-Estate/","3029 Oakland Dr","Kalamazoo, Michigan","For sale: former PNC branch located on Oakland Drive in Kalamazoo Nice all brick building adjacent to Oakwood Plaza 1,652 SF situated on .26 acres...","http://x.lnimg.com/photo/thumb_288/41bafad1cd95439bae205905ed0125b0.jpg","3029 Oakland Dr","3029 Oakland Dr
Kalamazoo, Michigan
For sale: former PNC branch located on Oakland Drive in Kalamazoo Nice all brick building adjacent to Oakwood Plaza 1,652 SF situated on .26 acres...
 
 Status:
Price:
Bldg. Size:
Cap Rate:
Primary Type:
Sub-Type: 
 
Active
$175,000
1,652 SF
N/A
Office
Institutional/Governmental","Active
$175,000
1,652 SF
N/A
Office
Institutional/Governmental","Status:
Price:
Bldg. Size:
Cap Rate:
Primary Type:
Sub-Type:","Active","3029 Oakland Dr","http://www.loopnet.com/Listing/20061716/3029-Oakland-Dr-Kalamazoo-MI/"
"http://www.loopnet.com/Michigan/Kalamazoo-Commercial-Real-Estate/","729 Academy St","Kalamazoo, Michigan","AVAILABLE FOR LEASE Individual, private executive offices and designed-to-suit 1,950 SF professional office suite located in a beautifully...","http://x.lnimg.com/photo/thumb_288/e2eb2a2725414d91a3589a7bcb96f202.jpg","729 Academy St","729 Academy St
Kalamazoo, Michigan
AVAILABLE FOR LEASE Individual, private executive offices and designed-to-suit 1,950 SF professional office suite located in a beautifully...
 
 Status:
No. Spaces:
Rental Rate:
Space Available:
Bldg. Size:
Primary Type:
Sub-Type: 
 
Active
3
$14.00 - $24.00
250 - 1,950 SF
3,950 SF
Office
Office Building","Active
3
$14.00 - $24.00
250 - 1,950 SF
3,950 SF
Office
Office Building","Status:
No. Spaces:
Rental Rate:
Space Available:
Bldg. Size:
Primary Type:
Sub-Type:","Active","729 Academy St","http://www.loopnet.com/Listing/20052274/729-Academy-St-Kalamazoo-MI/"
"http://www.loopnet.com/Michigan/Kalamazoo-Commercial-Real-Estate/","6376 Quail Run Dr","Kalamazoo, Michigan","Office building located in a beautifully wooded setting just off 9th Street in Kalamazoo. Only minutes from I-94 and Us-131. Building is well...","http://x.lnimg.com/photo/thumb_288/65e42f5dce6541b29ba2ed5e2af04b56.jpg","6376 Quail Run Dr","6376 Quail Run Dr
Kalamazoo, Michigan
Office building located in a beautifully wooded setting just off 9th Street in Kalamazoo. Only minutes from I-94 and Us-131. Building is well...
 
 Status:
Price:
Bldg. Size:
Cap Rate:
Primary Type:
Sub-Type: 
 
Active
$278,640
4,644 SF
N/A
Office
Office Building","Active
$278,640
4,644 SF
N/A
Office
Office Building","Status:
Price:
Bldg. Size:
Cap Rate:
Primary Type:
Sub-Type:","Active","6376 Quail Run Dr","http://www.loopnet.com/Listing/20037267/6376-Quail-Run-Dr-Kalamazoo-MI/"
"http://www.loopnet.com/Michigan/Kalamazoo-Commercial-Real-Estate/","7040 Stadium Dr","Kalamazoo, Michigan","This all-brick, Class A office building, is located on Stadium Drive in Kalamazoo, Michigan. An elevator provides ADA compliant access to the...","http://x.lnimg.com/photo/thumb_288/62a2a1f475a942e798792c2f953f5310.jpg","7040 Stadium Dr","7040 Stadium Dr
Kalamazoo, Michigan
This all-brick, Class A office building, is located on Stadium Drive in Kalamazoo, Michigan. An elevator provides ADA compliant access to the...
 
 Status:
Price:
Bldg. Size:
Cap Rate:
Primary Type:
Sub-Type: 
 
Active
$1,400,000
19,456 SF
N/A
Office
Office Building","Active
$1,400,000
19,456 SF
N/A
Office
Office Building","Status:
Price:
Bldg. Size:
Cap Rate:
Primary Type:
Sub-Type:","Active","7040 Stadium Dr","http://www.loopnet.com/Listing/20021711/7040-Stadium-Dr-Kalamazoo-MI/"
"http://www.loopnet.com/Michigan/Kalamazoo-Commercial-Real-Estate/","2012 E. Cork Street","Kalamazoo, Michigan","Investment opportunity. NNN Family Dollar lease in prime retail area of Kalamazoo. Just extend for additional 8 year term. $57,000 NOI, and a...","http://x.lnimg.com/photo/thumb_288/b353acc3c6604524bc10bed797362961.jpg","2012 E. Cork Street","2012 E. Cork Street
Kalamazoo, Michigan
Investment opportunity. NNN Family Dollar lease in prime retail area of Kalamazoo. Just extend for additional 8 year term. $57,000 NOI, and a...
 
 Status:
Price:
Bldg. Size:
Cap Rate:
Primary Type:
Sub-Type: 
 
Active
$750,000
8,000 SF
7.75%
Retail
Strip Center","Active
$750,000
8,000 SF
7.75%
Retail
Strip Center","Status:
Price:
Bldg. Size:
Cap Rate:
Primary Type:
Sub-Type:","Active","2012 E. Cork Street","http://www.loopnet.com/Listing/20019920/2012-E-Cork-Street-Kalamazoo-MI/"
"http://www.loopnet.com/Michigan/Kalamazoo-Commercial-Real-Estate/","412 Howard Street","Kalamazoo, Michigan","Redevelopment site with limitless potential. All Kalamazoo thoroughfares seem to lead to this site in the absolute center of the county. ...","http://x.lnimg.com/photo/thumb_288/c8d410aac458422599b0155e51f5e1ea.jpg","412 Howard Street","412 Howard Street
Kalamazoo, Michigan
Redevelopment site with limitless potential. All Kalamazoo thoroughfares seem to lead to this site in the absolute center of the county. ...
 
 Status:
No. Spaces:
Rental Rate:
Space Available:
Bldg. Size:
Primary Type:
Sub-Type: 
 
Active
10
$10.00 - $17.00
1,600 - 59,148 SF
59,148 SF
Retail
Street Retail","Active
10
$10.00 - $17.00
1,600 - 59,148 SF
59,148 SF
Retail
Street Retail","Status:
No. Spaces:
Rental Rate:
Space Available:
Bldg. Size:
Primary Type:
Sub-Type:","Active","412 Howard Street","http://www.loopnet.com/Listing/19988402/412-Howard-Street-Kalamazoo-MI/"
"http://www.loopnet.com/Michigan/Kalamazoo-Commercial-Real-Estate/","3810 E Cork St","Kalamazoo, Michigan","INVESTMENT OPPORTUNITY 8,069 SF free-standing restaurant on approx. 2.48-acre parcel in Kalamazoo, Michigan. Located adjacent to I-94, The Crew...","http://x.lnimg.com/photo/thumb_288/7163b7c2db3242e19878037f4ce8265a.jpg","3810 E Cork St","3810 E Cork St
Kalamazoo, Michigan
INVESTMENT OPPORTUNITY 8,069 SF free-standing restaurant on approx. 2.48-acre parcel in Kalamazoo, Michigan. Located adjacent to I-94, The Crew...
 
 Status:
Price:
Bldg. Size:
Cap Rate:
Primary Type:
Sub-Type: 
 
Active
$1,300,000
8,069 SF
7.00%
Retail
Restaurant","Active
$1,300,000
8,069 SF
7.00%
Retail
Restaurant","Status:
Price:
Bldg. Size:
Cap Rate:
Primary Type:
Sub-Type:","Active","3810 E Cork St","http://www.loopnet.com/Listing/19937049/3810-E-Cork-St-Kalamazoo-MI/"
"http://www.loopnet.com/Michigan/Kalamazoo-Commercial-Real-Estate/","2427 S 11th St","Kalamazoo, Michigan","Looking for passive, consistent, excellent cash flows? Then this is absolutely the opportunity. 10 Year leases with the primary tenant, 5 year...","http://x.lnimg.com/photo/thumb_288/14506b0f1f1c4426894acadb57582f62.jpg","2427 S 11th St","2427 S 11th St
Kalamazoo, Michigan
Looking for passive, consistent, excellent cash flows? Then this is absolutely the opportunity. 10 Year leases with the primary tenant, 5 year...
 
 Status:
Price:
Bldg. Size:
Cap Rate:
Primary Type:
Sub-Type: 
 
Active
$1,999,995
10,920 SF
N/A
Office
Office Building","Active
$1,999,995
10,920 SF
N/A
Office
Office Building","Status:
Price:
Bldg. Size:
Cap Rate:
Primary Type:
Sub-Type:","Active","2427 S 11th St","http://www.loopnet.com/Listing/19924395/2427-S-11th-St-Kalamazoo-MI/"
"http://www.loopnet.com/Michigan/Kalamazoo-Commercial-Real-Estate/","8213 Neptune Drive","Kalamazoo, Michigan","32,000 SF multi-tenanted office/warehouse building located in Neptune Drive Business Park. This light-industrial business park is well located...","http://x.lnimg.com/photo/thumb_288/c4e611b65be0410f9a10d302b9274e2e.jpg","8213 Neptune Drive","8213 Neptune Drive
Kalamazoo, Michigan
32,000 SF multi-tenanted office/warehouse building located in Neptune Drive Business Park. This light-industrial business park is well located...
 
 Status:
No. Spaces:
Rental Rate:
Space Available:
Bldg. Size:
Primary Type:
Sub-Type: 
 
Active
4
$3.25 - $9.00
2,350 - 11,200 SF
32,000 SF
Industrial
Warehouse","Active
4
$3.25 - $9.00
2,350 - 11,200 SF
32,000 SF
Industrial
Warehouse","Status:
No. Spaces:
Rental Rate:
Space Available:
Bldg. Size:
Primary Type:
Sub-Type:","Active","8213 Neptune Drive","http://www.loopnet.com/Listing/18553407/8213-Neptune-Drive-Kalamazoo-MI/"
"http://www.loopnet.com/Michigan/Kalamazoo-Commercial-Real-Estate/","5943 Stadium Dr","Kalamazoo, Michigan","Ideal site for office, multi-family or retail development. This two-level 18,600 SF medical office building is situated on 7.7 Acres and served...","http://x.lnimg.com/photo/thumb_288/067a6c3d3a044d9ab6242d169818e04d.jpg","5943 Stadium Dr","5943 Stadium Dr
Kalamazoo, Michigan
Ideal site for office, multi-family or retail development. This two-level 18,600 SF medical office building is situated on 7.7 Acres and served...
 
 Status:
Price:
Bldg. Size:
Cap Rate:
Primary Type:
Sub-Type: 
 
Active
$1,050,000
18,600 SF
N/A
Office
Medical Office","Active
$1,050,000
18,600 SF
N/A
Office
Medical Office","Status:
Price:
Bldg. Size:
Cap Rate:
Primary Type:
Sub-Type:","Active","5943 Stadium Dr","http://www.loopnet.com/Listing/19883718/5943-Stadium-Dr-Kalamazoo-MI/"
"http://www.loopnet.com/Michigan/Kalamazoo-Commercial-Real-Estate/","2001 Fulford Street","Kalamazoo, Michigan","Attractive, very clean and well kept warehouse/manufacturing space. Multiple sizes available. Freshly painted offices with new carpeting. Large...","http://x.lnimg.com/photo/thumb_288/c2ae360b4cba404b814d9496bb205612.jpg","2001 Fulford Street","2001 Fulford Street
Kalamazoo, Michigan
Attractive, very clean and well kept warehouse/manufacturing space. Multiple sizes available. Freshly painted offices with new carpeting. Large...
 
 Status:
No. Spaces:
Rental Rate:
Space Available:
Bldg. Size:
Primary Type:
Sub-Type: 
 
Active
7
$2.95 - $3.75
2,000 - 110,902 SF
110,902 SF
Industrial
Warehouse","Active
7
$2.95 - $3.75
2,000 - 110,902 SF
110,902 SF
Industrial
Warehouse","Status:
No. Spaces:
Rental Rate:
Space Available:
Bldg. Size:
Primary Type:
Sub-Type:","Active","2001 Fulford Street","http://www.loopnet.com/Listing/19840544/2001-Fulford-Street-Kalamazoo-MI/"
"http://www.loopnet.com/Michigan/Kalamazoo-Commercial-Real-Estate/","1 W Main St","Kalamazoo, Michigan","Rare opportunity to purchase approximately 36 acres of development land off M-43 (W. Main St.) in Oshtemo Township Kalamazoo County, Michigan. ...","http://x.lnimg.com/photo/thumb_288/ee414bdee4704f49b9e4733a76676f95.jpg","1 W Main St","1 W Main St
Kalamazoo, Michigan
Rare opportunity to purchase approximately 36 acres of development land off M-43 (W. Main St.) in Oshtemo Township Kalamazoo County, Michigan. ...
 
 Status:
Price:
Lot Size:
Primary Type:
Sub-Type: 
 
Active
$3,500,000
36.93 Acres
Land
Retail (land)","Active
$3,500,000
36.93 Acres
Land
Retail (land)","Status:
Price:
Lot Size:
Primary Type:
Sub-Type:","Active","1 W Main St","http://www.loopnet.com/Listing/19808690/1-W-Main-St-Kalamazoo-MI/"
"http://www.loopnet.com/Michigan/Kalamazoo-Commercial-Real-Estate/","5200 East Cork Street","Kalamazoo, Michigan","World-class 340-acre, mixed-use business park off I-94 halfway between Detroit and Chicago. Featuring 1.6 Million square feet of state-of-the-Art...","http://x.lnimg.com/photo/thumb_288/1fa6c2a6b5f24b7c9200b1182430dff6.jpg","5200 East Cork Street","5200 East Cork Street
Kalamazoo, Michigan
World-class 340-acre, mixed-use business park off I-94 halfway between Detroit and Chicago. Featuring 1.6 Million square feet of state-of-the-Art...
 
 Status:
No. Spaces:
Rental Rate:
Space Available:
Bldg. Size:
Primary Type:
Sub-Type: 
 
Active
8
$2.95 - $6.95
7,185 - 250,000 SF
1,600,000 SF
Industrial
Flex Space","Active
8
$2.95 - $6.95
7,185 - 250,000 SF
1,600,000 SF
Industrial
Flex Space","Status:
No. Spaces:
Rental Rate:
Space Available:
Bldg. Size:
Primary Type:
Sub-Type:","Active","5200 East Cork Street","http://www.loopnet.com/Listing/19237152/5200-East-Cork-Street-Kalamazoo-MI/"
"http://www.loopnet.com/Michigan/Kalamazoo-Commercial-Real-Estate/2/","6545 Stadium Dr","Kalamazoo, Michigan","This unique center is affordably priced and located on busy Stadium Drive. Both retail and office spaces are available within Chime Plaza. This...","http://x.lnimg.com/photo/thumb_288/e92685945716482cac8253df56337bcd.jpg","6545 Stadium Dr","6545 Stadium Dr
Kalamazoo, Michigan
This unique center is affordably priced and located on busy Stadium Drive. Both retail and office spaces are available within Chime Plaza. This...
 
 Status:
No. Spaces:
Rental Rate:
Space Available:
Bldg. Size:
Primary Type:
Sub-Type: 
 
Active
2
$12.00
1,368 - 1,649 SF
7,600 SF
Retail
Strip Center","Active
2
$12.00
1,368 - 1,649 SF
7,600 SF
Retail
Strip Center","Status:
No. Spaces:
Rental Rate:
Space Available:
Bldg. Size:
Primary Type:
Sub-Type:","Active","6545 Stadium Dr","http://www.loopnet.com/Listing/19386450/6545-Stadium-Dr-Kalamazoo-MI/"
"http://www.loopnet.com/Michigan/Kalamazoo-Commercial-Real-Estate/2/","410 W. Kilgore Road","Kalamazoo, Michigan","AVAILABLE FOR LEASE 9,500 SF 14,400 SF retail suites available at Westnedge Corners, a 77,000 SF (approx.) shopping center on the busy S...","http://x.lnimg.com/photo/thumb_288/4b720ad1403347d2bdb775e84730f705.jpg","410 W. Kilgore Road","410 W. Kilgore Road
Kalamazoo, Michigan
AVAILABLE FOR LEASE 9,500 SF 14,400 SF retail suites available at Westnedge Corners, a 77,000 SF (approx.) shopping center on the busy S...
 
 Status:
No. Spaces:
Rental Rate:
Space Available:
Bldg. Size:
Primary Type:
Sub-Type: 
 
Active
2
$10.00 - $14.00
9,500 - 14,400 SF
77,000 SF
Retail
Neighborhood Center","Active
2
$10.00 - $14.00
9,500 - 14,400 SF
77,000 SF
Retail
Neighborhood Center","Status:
No. Spaces:
Rental Rate:
Space Available:
Bldg. Size:
Primary Type:
Sub-Type:","Active","410 W. Kilgore Road","http://www.loopnet.com/Listing/19711405/410-W-Kilgore-Road-Kalamazoo-MI/"
"http://www.loopnet.com/Michigan/Kalamazoo-Commercial-Real-Estate/2/","5200 E Cork St","Kalamazoo, Michigan","World-class 340-acre, mixed-use business park off I-94. Features include 1-28 contiguous acres with some in tax-free Ren Zone. Adjacent to 1.6...","http://x.lnimg.com/photo/thumb_288/0b1284b105284072997fd8d748cec3cd.jpg","5200 E Cork St","5200 E Cork St
Kalamazoo, Michigan
World-class 340-acre, mixed-use business park off I-94. Features include 1-28 contiguous acres with some in tax-free Ren Zone. Adjacent to 1.6...
 
 Status:
Price:
Lot Size:
Primary Type:
Sub-Type: 
 
Active
$55,000 - $7,350,000
1.00 - 28.00 Acres
Land
Industrial (land)","Active
$55,000 - $7,350,000
1.00 - 28.00 Acres
Land
Industrial (land)","Status:
Price:
Lot Size:
Primary Type:
Sub-Type:","Active","5200 E Cork St","http://www.loopnet.com/Listing/19610849/5200-E-Cork-St-Kalamazoo-MI/"
"http://www.loopnet.com/Michigan/Kalamazoo-Commercial-Real-Estate/2/","2909 W. Michigan Ave.","Kalamazoo, Michigan","**CONFIDENTIAL LISTING**ADDRESS INCORRECT**CONTACT BROKER FOR INFO** Another baby on the way...club's gotta go! Kalamazoo' s only dedicated...","http://x.lnimg.com/photo/thumb_288/ff35ab7b7e7946a69380e53229b08c92.jpg","2909 W. Michigan Ave.","2909 W. Michigan Ave.
Kalamazoo, Michigan
**CONFIDENTIAL LISTING**ADDRESS INCORRECT**CONTACT BROKER FOR INFO** Another baby on the way...club's gotta go! Kalamazoo' s only dedicated...
 
 Status:
Price:
Bldg. Size:
Cap Rate:
Primary Type:
Sub-Type: 
 
Active
$150,000
4,700 SF
N/A
Retail
Retail (Other)","Active
$150,000
4,700 SF
N/A
Retail
Retail (Other)","Status:
Price:
Bldg. Size:
Cap Rate:
Primary Type:
Sub-Type:","Active","2909 W. Michigan Ave.","http://www.loopnet.com/Listing/19543241/2909-W-Michigan-Ave-Kalamazoo-MI/"
